grid_id,zone,zone_source,osm_industrial_share,coj_industrial_matches,coj_residential_matches,coj_evidence_n,coj_industrial_purity
JNB0184,cbd,cbd25_spatial_crosswalk,0.0,0,0,0,0.0
JNB0185,cbd,cbd25_spatial_crosswalk,0.0,0,0,0,0.0
JNB0186,residential,residential_fallback,0.003963466239476311,0,0,0,0.0
JNB0187,residential,residential_fallback,0.0,0,0,0,0.0
JNB0188,residential,residential_fallback,0.0,0,0,0,0.0
JNB0189,residential,residential_fallback,0.0,0,0,0,0.0
JNB0190,residential,residential_fallback,0.0,0,0,0,0.0
JNB0191,residential,residential_fallback,0.0,0,0,0,0.0
JNB0192,industrial,osm_industrial_share_ge_0.03,0.10739553511101589,0,0,0,0.0
JNB0193,industrial,osm_industrial_share_ge_0.03,0.03452896181925636,0,0,0,0.0
JNB0194,residential,residential_fallback,0.0,0,0,0,0.0
JNB0195,residential,residential_fallback,0.0,0,0,0,0.0
JNB0196,residential,residential_fallback,0.0,0,0,0,0.0
JNB0197,residential,residential_fallback,0.0,0,0,0,0.0
JNB0198,residential,residential_fallback,0.0,0,0,0,0.0
JNB0199,residential,residential_fallback,0.0,0,0,0,0.0
JNB0200,residential,residential_fallback,0.0,0,0,0,0.0
JNB0201,residential,residential_fallback,0.0,0,0,0,0.0
JNB0202,residential,residential_fallback,0.0,0,0,0,0.0
JNB0203,residential,residential_fallback,0.0,0,0,0,0.0
JNB0204,residential,residential_fallback,0.0,0,0,0,0.0
JNB0205,cbd,cbd25_spatial_crosswalk,0.005158153208162715,0,0,0,0.0
JNB0206,cbd,cbd25_spatial_crosswalk,0.003548690654320782,1,0,1,1.0
JNB0207,cbd,cbd25_spatial_crosswalk,0.0,80,0,80,1.0
JNB0208,cbd,cbd25_spatial_crosswalk,0.0,11,0,11,1.0
JNB0209,cbd,cbd25_spatial_crosswalk,0.0042462020028541225,0,0,0,0.0
JNB0210,residential,residential_fallback,0.0,0,0,0,0.0
JNB0211,residential,residential_fallback,0.0,0,0,0,0.0
JNB0212,residential,residential_fallback,0.0,0,0,0,0.0
JNB0213,residential,residential_fallback,0.0,0,0,0,0.0
JNB0214,residential,residential_fallback,0.0008539193567854163,0,0,0,0.0
JNB0215,industrial,osm_industrial_share_ge_0.03,0.26211170737803574,0,0,0,0.0
JNB0216,industrial,osm_industrial_share_ge_0.03,0.31467618086348953,0,0,0,0.0
JNB0217,industrial,osm_industrial_share_ge_0.03,0.1498399575875514,0,0,0,0.0
JNB0218,industrial,osm_industrial_share_ge_0.03,0.08660270476266632,0,0,0,0.0
JNB0219,industrial,osm_industrial_share_ge_0.03,0.07075629170635885,0,0,0,0.0
JNB0220,residential,residential_fallback,0.0,0,0,0,0.0
JNB0221,industrial,coj_zoning_industrial_n3_purity_ge_0.70,0.0,7,0,7,1.0
JNB0222,residential,residential_fallback,0.0,0,0,0,0.0
JNB0223,residential,residential_fallback,0.0,0,0,0,0.0
JNB0224,residential,residential_fallback,0.0,0,0,0,0.0
JNB0225,residential,residential_fallback,0.0,0,0,0,0.0
JNB0226,residential,residential_fallback,0.014949852539798846,0,0,0,0.0
JNB0227,residential,residential_fallback,0.0,0,0,0,0.0
JNB0228,residential,residential_fallback,0.0,0,0,0,0.0
JNB0229,cbd,cbd25_spatial_crosswalk,0.0,0,0,0,0.0
JNB0230,cbd,cbd25_spatial_crosswalk,0.26015360878934,15,0,15,1.0
JNB0231,cbd,cbd25_spatial_crosswalk,0.028048151373804998,138,0,138,1.0
JNB0232,cbd,cbd25_spatial_crosswalk,0.0,62,0,62,1.0
JNB0233,cbd,cbd25_spatial_crosswalk,0.0,0,0,0,0.0
JNB0234,industrial,osm_industrial_share_ge_0.03,0.06393870064973822,1,0,1,1.0
JNB0235,industrial,coj_zoning_industrial_n3_purity_ge_0.70,0.0,35,0,35,1.0
JNB0236,residential,residential_fallback,0.0,0,0,0,0.0
JNB0237,residential,residential_fallback,0.0,0,0,0,0.0
JNB0238,residential,residential_fallback,0.0274454809244335,0,0,0,0.0
JNB0239,industrial,osm_industrial_share_ge_0.03,0.2893435565774157,0,0,0,0.0
JNB0240,industrial,osm_industrial_share_ge_0.03,0.5311285255036273,0,0,0,0.0
JNB0241,industrial,osm_industrial_share_ge_0.03,0.23313115611463725,0,0,0,0.0
JNB0242,industrial,osm_industrial_share_ge_0.03,0.9622688254453083,0,0,0,0.0
JNB0243,industrial,osm_industrial_share_ge_0.03,0.9370981298648072,0,0,0,0.0
JNB0244,residential,residential_fallback,0.0,0,0,0,0.0
JNB0245,residential,residential_fallback,0.0,0,0,0,0.0
JNB0246,residential,residential_fallback,0.0,0,0,0,0.0
JNB0247,residential,residential_fallback,0.0,0,0,0,0.0
JNB0248,residential,residential_fallback,0.0,0,0,0,0.0
JNB0249,residential,residential_fallback,0.0,0,0,0,0.0
JNB0250,industrial,osm_industrial_share_ge_0.03,0.08293062232512283,0,0,0,0.0
JNB0251,residential,residential_fallback,0.0,0,0,0,0.0
JNB0252,residential,residential_fallback,0.0,0,0,0,0.0
JNB0253,residential,residential_fallback,0.0014976328428375403,0,0,0,0.0
JNB0254,industrial,osm_industrial_share_ge_0.03,0.5762076006993707,24,2,26,0.9230769230769231
JNB0255,industrial,osm_industrial_share_ge_0.03,0.09765156732575415,1,0,1,1.0
JNB0256,industrial,coj_zoning_industrial_n3_purity_ge_0.70,0.0,15,0,15,1.0
JNB0257,residential,residential_fallback,0.0,0,0,0,0.0
JNB0258,residential,residential_fallback,0.018441636302356477,0,0,0,0.0
JNB0259,residential,residential_fallback,0.0,0,0,0,0.0
JNB0260,residential,residential_fallback,0.0,0,0,0,0.0
JNB0261,residential,residential_fallback,0.0,0,0,0,0.0
JNB0262,industrial,osm_industrial_share_ge_0.03,0.03810188256179179,0,0,0,0.0
JNB0263,industrial,osm_industrial_share_ge_0.03,0.31936094313133256,0,0,0,0.0
JNB0264,industrial,osm_industrial_share_ge_0.03,0.4207065334385112,0,0,0,0.0
JNB0265,industrial,osm_industrial_share_ge_0.03,0.43123944966042904,0,0,0,0.0
JNB0266,industrial,osm_industrial_share_ge_0.03,0.5146050467092816,0,0,0,0.0
JNB0267,industrial,osm_industrial_share_ge_0.03,0.2472005624373619,0,0,0,0.0
JNB0268,residential,residential_fallback,0.0,0,0,0,0.0
JNB0269,residential,residential_fallback,0.0,0,0,0,0.0
JNB0270,residential,residential_fallback,0.0,0,0,0,0.0
JNB0271,residential,residential_fallback,0.0,0,0,0,0.0
JNB0272,residential,residential_fallback,0.0,0,0,0,0.0
JNB0273,residential,residential_fallback,0.0,0,0,0,0.0
JNB0274,residential,residential_fallback,0.0,0,0,0,0.0
JNB0275,residential,residential_fallback,0.0,0,0,0,0.0
JNB0276,residential,residential_fallback,0.0,0,0,0,0.0
JNB0277,residential,residential_fallback,0.0,0,0,0,0.0
JNB0278,residential,residential_fallback,0.0,22,12,34,0.6470588235294118
JNB0279,residential,residential_fallback,0.0013062492177372989,0,3,3,0.0
JNB0280,residential,residential_fallback,0.0,0,2,2,0.0
JNB0281,residential,residential_fallback,0.0,0,12,12,0.0
JNB0282,residential,residential_fallback,0.0,0,16,16,0.0
JNB0283,residential,residential_fallback,0.0,0,16,16,0.0
JNB0284,residential,residential_fallback,0.0,0,0,0,0.0
JNB0285,industrial,osm_industrial_share_ge_0.03,0.11955903788458995,0,0,0,0.0
JNB0286,residential,residential_fallback,0.0,0,0,0,0.0
JNB0287,residential,residential_fallback,0.0,0,0,0,0.0
JNB0288,industrial,osm_industrial_share_ge_0.03,0.10870200614583803,0,0,0,0.0
JNB0289,industrial,osm_industrial_share_ge_0.03,0.3852989027225491,0,0,0,0.0
JNB0290,residential,residential_fallback,0.0,0,0,0,0.0
JNB0291,residential,residential_fallback,0.0,0,0,0,0.0
JNB0292,residential,residential_fallback,0.0,0,0,0,0.0
JNB0293,residential,residential_fallback,0.0,0,0,0,0.0
JNB0294,residential,residential_fallback,0.0,0,0,0,0.0
JNB0295,industrial,osm_industrial_share_ge_0.03,0.03412670928815561,0,0,0,0.0
JNB0296,industrial,osm_industrial_share_ge_0.03,0.053633242915880903,0,0,0,0.0
JNB0297,residential,residential_fallback,0.0,0,0,0,0.0
JNB0298,residential,residential_fallback,0.0,0,0,0,0.0
JNB0299,industrial,osm_industrial_share_ge_0.03,0.22581349287444705,0,0,0,0.0
JNB0300,industrial,osm_industrial_share_ge_0.03,0.21846951756180996,0,1,1,0.0
JNB0301,residential,residential_fallback,0.0,0,7,7,0.0
JNB0302,residential,residential_fallback,0.0,0,11,11,0.0
JNB0303,residential,residential_fallback,0.0,0,14,14,0.0
JNB0304,residential,residential_fallback,0.0,0,37,37,0.0
JNB0305,residential,residential_fallback,0.0,0,9,9,0.0
JNB0306,residential,residential_fallback,0.0,0,1,1,0.0
